2026-02-27 01:37:43 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:53:22 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:53:22 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:53:22 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:54:08 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:54:08 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:54:08 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:55:06 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:55:06 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:55:06 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:56:17 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:56:17 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:56:17 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:56:53 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:56:53 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:56:53 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 01:57:25 | INFO | process:76 | Iniciando busca de FILEs...
2026-02-27 01:57:25 | INFO | process:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 01:57:25 | INFO | process:86 | 1 FILE(s) encontrado(s).
2026-02-27 03:21:46 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 03:21:46 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 03:21:46 | INFO | populate_knowledge_base_from_file:86 | 1 FILE(s) encontrado(s).
2026-02-27 03:43:13 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 03:43:13 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 03:43:13 | INFO | populate_knowledge_base_from_file:86 | 1 FILE(s) encontrado(s).
2026-02-27 03:43:49 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 03:43:49 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 03:43:49 | INFO | populate_knowledge_base_from_file:86 | 1 FILE(s) encontrado(s).
2026-02-27 09:00:21 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 09:00:21 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 09:00:21 | INFO | populate_knowledge_base_from_file:86 | 1 FILE(s) encontrado(s).
2026-02-27 14:58:41 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 14:58:41 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 14:58:41 | INFO | populate_knowledge_base_from_file:86 | 1 FILE(s) encontrado(s).
2026-02-27 15:19:25 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 15:19:25 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 15:19:25 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-02-27 15:21:30 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 15:21:30 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 15:21:30 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-02-27 15:43:43 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 15:43:43 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 15:43:43 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-02-27 15:52:30 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 15:52:30 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 15:52:30 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-02-27 15:56:17 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-02-27 15:56:17 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-02-27 15:56:17 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-03-01 10:52:12 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-03-01 10:52:12 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-03-01 10:52:12 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-03-01 14:06:54 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-03-01 14:06:54 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-03-01 14:06:54 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
2026-03-01 14:12:16 | INFO | populate_knowledge_base_from_file:76 | Iniciando busca de FILEs...
2026-03-01 14:12:16 | INFO | populate_knowledge_base_from_file:78 | Procurando FILEs em: C:\Users\Yuan\Desktop\git_hub\ai_engineering\llmops\project_llmops\enterprise_project\static\files
2026-03-01 14:12:16 | INFO | populate_knowledge_base_from_file:86 | 2 FILE(s) encontrado(s).
